French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
ville,city
chaque,each
arrivé,come
devrait,should
longtemps,long time
vont,will
revoir,meet again
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
donner,give
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
